recorte,flow,year,coNcm,ncm,metricFOB,metricKG,metricStatistic
BR,export,2020,89031000,Barcos infláveis,467663,2869,109
BR,export,2020,89039100,"Barcos a vela, mesmo com motor auxiliar",6596,252,8
BR,export,2019,89039200,"Barcos a motor, exceto com motor fora-de-borda",14469224,378826,75
BR,export,2019,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",8429126,216433,364
BR,export,2019,89031000,Barcos infláveis,662549,3889,60
BR,export,2018,89039200,"Barcos a motor, exceto com motor fora-de-borda",11783780,277098,27
BR,export,2018,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",6894396,194145,373
BR,export,2018,89031000,Barcos infláveis,413686,3662,43
BR,export,2017,89039200,"Barcos a motor, exceto com motor fora-de-borda",11450983,379700,79
BR,export,2017,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",7221777,198120,713
BR,export,2017,89031000,Barcos infláveis,326102,2065,19
BR,export,2017,89039100,"Barcos a vela, mesmo com motor auxiliar",21540,180,2
BR,export,2016,89039200,"Barcos a motor, exceto com motor fora-de-borda",18247386,565928,63
BR,export,2016,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",5038286,181092,796
BR,export,2016,89031000,Barcos infláveis,415860,1686,103
BR,export,2016,89039100,"Barcos a vela, mesmo com motor auxiliar",119097,8308,14
BR,export,2015,89039200,"Barcos a motor, exceto com motor fora-de-borda",8392549,196531,26
BR,export,2015,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",478685,18714,156
BR,export,2015,89031000,Barcos infláveis,372555,4547,62
BR,export,2014,89039200,"Barcos a motor, exceto com motor fora-de-borda",1292589,38440,12
BR,export,2014,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",447774,18948,661
BR,export,2014,89031000,Barcos infláveis,353756,4761,94
BR,export,2013,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",760579,21368,991
BR,export,2013,89031000,Barcos infláveis,643959,10786,102
BR,export,2013,89039200,"Barcos a motor, exceto com motor fora-de-borda",574235,25979,11
BR,export,2012,89039200,"Barcos a motor, exceto com motor fora-de-borda",7209679,339863,8
BR,export,2012,89031000,Barcos infláveis,481190,3510,100
BR,export,2012,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",277323,14199,502
BR,export,2011,89039200,"Barcos a motor, exceto com motor fora-de-borda",538184,30168,14
BR,export,2011,89031000,Barcos infláveis,414857,4287,69
BR,export,2011,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",284356,11362,415
BR,export,2010,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",15814783,266690,332
BR,export,2010,89039200,"Barcos a motor, exceto com motor fora-de-borda",11691504,186598,25
BR,export,2010,89039100,"Barcos a vela, mesmo com motor auxiliar",690353,63520,1
BR,export,2010,89031000,Barcos infláveis,447590,11344,339
BR,import,2026,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",73530164,3045014,9074
BR,import,2026,89033300,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 24 m",5500000,102,1
BR,import,2026,89032200,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento superior a 7,5 m, mas não superior a 24 m",5264520,102303,11
BR,import,2026,89033200,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 7,5 m, mas não superior a 24 m",4183127,75067,5
BR,import,2026,89033100,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento não superior a 7,5 m",1886823,38398,45
BR,import,2026,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",495452,36508,1684
BR,import,2026,89031900,"Outros barcos infláveis, mesmo com casco rígido, não classificados em códigos anteriores",427493,13080,1105
BR,import,2026,89031100,"Barcos infláveis, mesmo com casco rígido, equipados com um motor ou concebidos para comportá-lo, de peso vazio (sem carga) sem motor não superior a 100 kg",244633,13026,1016
BR,import,2026,89031200,"Barcos infláveis, mesmo com casco rígido, não concebidos para serem utilizados com um motor e de peso vazio (sem carga) não superior a 100 kg",214359,56938,11143
BR,import,2026,89032100,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento não superior a 7,5 m",56359,741,512
BR,import,2025,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",117115044,4439481,12872
BR,import,2025,89033200,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 7,5 m, mas não superior a 24 m",8167203,149008,17
BR,import,2025,89032200,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento superior a 7,5 m, mas não superior a 24 m",3077809,140239,11
BR,import,2025,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",2650432,50214,1201
BR,import,2025,89031900,"Outros barcos infláveis, mesmo com casco rígido, não classificados em códigos anteriores",1032357,25427,2551
BR,import,2025,89033100,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento não superior a 7,5 m",931512,16687,22
BR,import,2025,89031200,"Barcos infláveis, mesmo com casco rígido, não concebidos para serem utilizados com um motor e de peso vazio (sem carga) não superior a 100 kg",265602,48025,9527
BR,import,2025,89032100,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento não superior a 7,5 m",212782,3672,83
BR,import,2025,89031100,"Barcos infláveis, mesmo com casco rígido, equipados com um motor ou concebidos para comportá-lo, de peso vazio (sem carga) sem motor não superior a 100 kg",90513,25601,2249
BR,import,2024,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",138979821,5011357,14330
BR,import,2024,89032200,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento superior a 7,5 m, mas não superior a 24 m",12094541,258309,16
BR,import,2024,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",4873275,91077,9411
BR,import,2024,89033100,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento não superior a 7,5 m",3759342,129849,106
BR,import,2024,89031900,"Outros barcos infláveis, mesmo com casco rígido, não classificados em códigos anteriores",1107393,21362,2628
BR,import,2024,89033200,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 7,5 m, mas não superior a 24 m",542101,22300,12
BR,import,2024,89031100,"Barcos infláveis, mesmo com casco rígido, equipados com um motor ou concebidos para comportá-lo, de peso vazio (sem carga) sem motor não superior a 100 kg",187523,51537,3143
BR,import,2024,89032100,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento não superior a 7,5 m",187003,2982,73
BR,import,2024,89031200,"Barcos infláveis, mesmo com casco rígido, não concebidos para serem utilizados com um motor e de peso vazio (sem carga) não superior a 100 kg",183992,39162,12108
BR,import,2024,89032300,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento superior a 24 m",57126,102000,1
BR,import,2023,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",102088789,3620063,10397
BR,import,2023,89033300,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 24 m",22485626,345085,2
BR,import,2023,89032200,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento superior a 7,5 m, mas não superior a 24 m",11576365,335779,205
BR,import,2023,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",3106420,87583,3389
BR,import,2023,89033100,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento não superior a 7,5 m",2045025,60525,43
BR,import,2023,89033200,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 7,5 m, mas não superior a 24 m",1775006,22786,4
BR,import,2023,89031900,"Outros barcos infláveis, mesmo com casco rígido, não classificados em códigos anteriores",1296221,10032,2633
BR,import,2023,89032100,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento não superior a 7,5 m",329584,4639,59
BR,import,2023,89031200,"Barcos infláveis, mesmo com casco rígido, não concebidos para serem utilizados com um motor e de peso vazio (sem carga) não superior a 100 kg",253734,37183,8214
BR,import,2023,89039200,"Barcos a motor, exceto com motor fora-de-borda",94039,2682,1
BR,import,2023,89031100,"Barcos infláveis, mesmo com casco rígido, equipados com um motor ou concebidos para comportá-lo, de peso vazio (sem carga) sem motor não superior a 100 kg",92621,29563,1914
BR,import,2022,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",68906681,2669821,8355
