recorte,flow,year,coNcm,ncm,metricFOB,metricKG,metricStatistic
SC,export,2010,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",86886,6670,10
SC,import,2026,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",72746167,3019377,8797
SC,import,2026,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",82731,9290,1093
SC,import,2026,89031200,"Barcos infláveis, mesmo com casco rígido, não concebidos para serem utilizados com um motor e de peso vazio (sem carga) não superior a 100 kg",69658,18535,3342
SC,import,2026,89031100,"Barcos infláveis, mesmo com casco rígido, equipados com um motor ou concebidos para comportá-lo, de peso vazio (sem carga) sem motor não superior a 100 kg",18813,5754,251
SC,import,2026,89033100,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento não superior a 7,5 m",14098,3906,31
SC,import,2026,89032200,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento superior a 7,5 m, mas não superior a 24 m",6173,58,4
SC,import,2026,89031900,"Outros barcos infláveis, mesmo com casco rígido, não classificados em códigos anteriores",5682,1897,150
SC,import,2025,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",115742465,4407119,12718
SC,import,2025,89033200,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 7,5 m, mas não superior a 24 m",1592066,42293,4
SC,import,2025,89032200,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento superior a 7,5 m, mas não superior a 24 m",473002,32501,4
SC,import,2025,89032100,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento não superior a 7,5 m",143987,2055,79
SC,import,2025,89031200,"Barcos infláveis, mesmo com casco rígido, não concebidos para serem utilizados com um motor e de peso vazio (sem carga) não superior a 100 kg",131855,24222,4517
SC,import,2025,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",127752,1274,103
SC,import,2025,89031900,"Outros barcos infláveis, mesmo com casco rígido, não classificados em códigos anteriores",47298,7494,1110
SC,import,2025,89031100,"Barcos infláveis, mesmo com casco rígido, equipados com um motor ou concebidos para comportá-lo, de peso vazio (sem carga) sem motor não superior a 100 kg",45940,14243,1355
SC,import,2025,89033100,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento não superior a 7,5 m",38759,1232,7
SC,import,2024,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",134087249,4875958,13903
SC,import,2024,89033100,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento não superior a 7,5 m",2014491,99021,92
SC,import,2024,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",348075,10591,323
SC,import,2024,89032100,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento não superior a 7,5 m",116153,978,51
SC,import,2024,89032300,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento superior a 24 m",57126,102000,1
SC,import,2024,89031100,"Barcos infláveis, mesmo com casco rígido, equipados com um motor ou concebidos para comportá-lo, de peso vazio (sem carga) sem motor não superior a 100 kg",32506,9968,646
SC,import,2024,89031200,"Barcos infláveis, mesmo com casco rígido, não concebidos para serem utilizados com um motor e de peso vazio (sem carga) não superior a 100 kg",26628,4170,1967
SC,import,2024,89031900,"Outros barcos infláveis, mesmo com casco rígido, não classificados em códigos anteriores",22611,7033,2148
SC,import,2023,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",99135046,3517570,10193
SC,import,2023,89033300,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 24 m",17032069,272085,1
SC,import,2023,89033200,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 7,5 m, mas não superior a 24 m",976034,9000,1
SC,import,2023,89033100,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento não superior a 7,5 m",694817,34442,32
SC,import,2023,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",179632,4670,60
SC,import,2023,89031200,"Barcos infláveis, mesmo com casco rígido, não concebidos para serem utilizados com um motor e de peso vazio (sem carga) não superior a 100 kg",126643,10785,1994
SC,import,2023,89031900,"Outros barcos infláveis, mesmo com casco rígido, não classificados em códigos anteriores",43125,543,23
SC,import,2023,89032100,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento não superior a 7,5 m",41805,431,18
SC,import,2023,89031100,"Barcos infláveis, mesmo com casco rígido, equipados com um motor ou concebidos para comportá-lo, de peso vazio (sem carga) sem motor não superior a 100 kg",2170,823,124
SC,import,2022,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",68000893,2650304,8297
SC,import,2022,89033300,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 24 m",7220847,130000,1
SC,import,2022,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",5713550,276127,1066
SC,import,2022,89031200,"Barcos infláveis, mesmo com casco rígido, não concebidos para serem utilizados com um motor e de peso vazio (sem carga) não superior a 100 kg",139646,13439,2055
SC,import,2022,89031900,"Outros barcos infláveis, mesmo com casco rígido, não classificados em códigos anteriores",104366,23770,2386
SC,import,2022,89032200,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento superior a 7,5 m, mas não superior a 24 m",68000,7900,1
SC,import,2022,89031100,"Barcos infláveis, mesmo com casco rígido, equipados com um motor ou concebidos para comportá-lo, de peso vazio (sem carga) sem motor não superior a 100 kg",38756,9865,3243
SC,import,2022,89031000,Barcos infláveis,21273,6289,551
SC,import,2022,89032100,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento não superior a 7,5 m",19371,810,12
SC,import,2022,89039100,"Barcos a vela, mesmo com motor auxiliar",5593,265,2
SC,import,2021,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",48186430,2580640,8165
SC,import,2021,89039200,"Barcos a motor, exceto com motor fora-de-borda",11561531,218556,19
SC,import,2021,89039100,"Barcos a vela, mesmo com motor auxiliar",1198576,31435,1
SC,import,2021,89031000,Barcos infláveis,260226,74110,7657
SC,import,2020,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",25002267,1410072,4687
SC,import,2020,89039100,"Barcos a vela, mesmo com motor auxiliar",87102,3136,21
SC,import,2020,89031000,Barcos infláveis,83062,28446,4127
SC,import,2019,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",40270718,2023392,6272
SC,import,2019,89039200,"Barcos a motor, exceto com motor fora-de-borda",1871730,66296,27
SC,import,2019,89031000,Barcos infláveis,129541,44408,6505
SC,import,2019,89039100,"Barcos a vela, mesmo com motor auxiliar",35149,1147,31
SC,import,2018,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",29851774,1568183,4946
SC,import,2018,89039200,"Barcos a motor, exceto com motor fora-de-borda",2800822,79013,35
SC,import,2018,89031000,Barcos infláveis,264344,71278,8525
SC,import,2018,89039100,"Barcos a vela, mesmo com motor auxiliar",23171,864,20
SC,import,2017,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",22143257,1131250,3845
SC,import,2017,89039200,"Barcos a motor, exceto com motor fora-de-borda",2400069,65000,1
SC,import,2017,89031000,Barcos infláveis,204750,67079,6223
SC,import,2017,89039100,"Barcos a vela, mesmo com motor auxiliar",54193,2444,17
SC,import,2016,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",7152072,393180,1411
SC,import,2016,89039200,"Barcos a motor, exceto com motor fora-de-borda",3342470,90000,1
SC,import,2016,89031000,Barcos infláveis,110007,30115,2978
SC,import,2016,89039100,"Barcos a vela, mesmo com motor auxiliar",29116,1248,12
SC,import,2015,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",12183647,855198,2899
SC,import,2015,89039200,"Barcos a motor, exceto com motor fora-de-borda",2362352,58035,3
SC,import,2015,89031000,Barcos infláveis,168704,40002,8980
SC,import,2015,89039100,"Barcos a vela, mesmo com motor auxiliar",27921,1256,11
SC,import,2014,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",23026371,1270693,4348
SC,import,2014,89039200,"Barcos a motor, exceto com motor fora-de-borda",12409143,208680,5
SC,import,2014,89031000,Barcos infláveis,210223,42810,15383
SC,import,2013,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",25419093,1243100,3633
SC,import,2013,89039200,"Barcos a motor, exceto com motor fora-de-borda",13451421,353079,15
SC,import,2013,89031000,Barcos infláveis,248247,68163,25106
SC,import,2013,89039100,"Barcos a vela, mesmo com motor auxiliar",25984,320,3
SC,import,2012,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",25837567,1232450,3491
SC,import,2012,89039200,"Barcos a motor, exceto com motor fora-de-borda",24821089,680060,150
SC,import,2012,89039100,"Barcos a vela, mesmo com motor auxiliar",237388,13400,1
SC,import,2012,89031000,Barcos infláveis,117057,33659,9528
SC,import,2011,89039200,"Barcos a motor, exceto com motor fora-de-borda",63177465,1277027,171
SC,import,2011,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",26201206,1132970,3244
SC,import,2011,89039100,"Barcos a vela, mesmo com motor auxiliar",310467,10988,4
SC,import,2011,89031000,Barcos infláveis,254853,99054,43195
SC,import,2010,89039200,"Barcos a motor, exceto com motor fora-de-borda",42684531,999811,7549
SC,import,2010,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",15607519,774679,2014
SC,import,2010,89039100,"Barcos a vela, mesmo com motor auxiliar",216706,8318,2
SC,import,2010,89031000,Barcos infláveis,150088,57687,20601
