flow,year,monthNumber,state,uf,metricFOB,metricKG,metricStatistic
export,2026,03,Minas Gerais,MG,187612,8786,
export,2026,01,São Paulo,SP,143354,4568,
export,2026,05,Minas Gerais,MG,117205,3450,
export,2026,07,Amazonas,AM,52907,4718,
export,2026,08,São Paulo,SP,42960,3537,
export,2026,02,Amazonas,AM,34145,700,
export,2026,08,Amazonas,AM,30246,2740,
export,2026,06,Amazonas,AM,25995,2090,
export,2026,03,Amazonas,AM,17072,1470,
export,2026,01,Amazonas,AM,16783,1857,
export,2026,02,Rio de Janeiro,RJ,15350,759,
export,2026,05,Amazonas,AM,12353,1140,
export,2026,05,Amapá,AP,11666,1190,
export,2026,04,Amazonas,AM,10753,1090,
export,2026,08,Não Declarada,ND,10044,54,
export,2026,02,São Paulo,SP,9977,524,
export,2026,07,Rondônia,RO,9451,1050,
export,2026,05,Rondônia,RO,7601,450,
export,2026,05,Mato Grosso do Sul,MS,6276,180,
export,2026,08,Rondônia,RO,5082,300,
export,2026,06,São Paulo,SP,3871,144,
export,2026,02,Amapá,AP,3849,900,
export,2026,03,Amapá,AP,3335,810,
export,2026,07,Roraima,RR,2894,150,
export,2026,03,Roraima,RR,2062,160,
export,2026,07,São Paulo,SP,1266,42,
export,2026,03,Paraná,PR,580,33,
export,2026,08,Rio de Janeiro,RJ,497,60,
import,2025,12,Santa Catarina,SC,19884953,747512,
import,2025,10,Santa Catarina,SC,16046050,632877,
import,2025,04,Santa Catarina,SC,15610892,516016,
import,2025,08,Santa Catarina,SC,11383906,515677,
import,2025,01,Santa Catarina,SC,11154624,427272,
import,2025,11,Santa Catarina,SC,10221229,365138,
import,2025,06,Santa Catarina,SC,9533851,362735,
import,2025,05,Santa Catarina,SC,8248149,298423,
import,2025,02,Santa Catarina,SC,5178760,171889,
import,2025,09,Santa Catarina,SC,4967175,232536,
import,2025,03,Santa Catarina,SC,4093330,174312,
import,2025,06,Amapá,AP,3499541,49000,
import,2025,07,Santa Catarina,SC,2020205,88046,
import,2025,09,Amapá,AP,1541682,20400,
import,2025,12,Amapá,AP,1299888,17200,
import,2025,03,Amapá,AP,1015667,13000,
import,2025,12,Paraná,PR,897172,20700,
import,2025,04,Rio de Janeiro,RJ,731239,14544,
import,2025,04,Amapá,AP,646657,17497,
import,2025,08,Amapá,AP,624661,12961,
import,2025,12,Bahia,BA,501895,14930,
import,2025,08,Rio de Janeiro,RJ,495724,2577,
import,2025,02,Amapá,AP,290628,2781,
import,2025,12,Minas Gerais,MG,287216,6062,
import,2025,10,São Paulo,SP,265861,37243,
import,2025,01,Amapá,AP,239847,6168,
import,2025,10,Amapá,AP,227346,3188,
import,2025,01,Paraná,PR,204622,10211,
import,2025,11,Alagoas,AL,201525,4522,
import,2025,01,Alagoas,AL,184740,4316,
import,2025,01,Paraíba,PB,175820,5058,
import,2025,02,Paraíba,PB,161988,5496,
import,2025,10,Paraná,PR,157593,3254,
import,2025,03,Alagoas,AL,155350,4599,
import,2025,09,Amazonas,AM,141106,4539,
import,2025,12,Rio de Janeiro,RJ,103348,3275,
import,2025,08,Paraná,PR,103021,2676,
import,2025,07,São Paulo,SP,84986,5000,
import,2025,06,Minas Gerais,MG,84940,5246,
import,2025,12,Alagoas,AL,81808,1615,
import,2025,09,Alagoas,AL,65500,1520,
import,2025,07,Alagoas,AL,62240,1470,
import,2025,02,Alagoas,AL,56740,1412,
import,2025,06,São Paulo,SP,53305,5010,
import,2025,04,Alagoas,AL,45455,340,
import,2025,09,São Paulo,SP,44984,3255,
import,2025,05,Amapá,AP,39714,501,
import,2025,09,Minas Gerais,MG,39662,10978,
import,2025,07,Amapá,AP,39568,461,
import,2025,11,Espírito Santo,ES,33990,204,
import,2025,11,São Paulo,SP,32298,3607,
import,2025,07,Minas Gerais,MG,30873,8553,
import,2025,10,Goiás,GO,29972,994,
import,2025,10,Minas Gerais,MG,25538,6662,
import,2025,01,São Paulo,SP,24336,1399,
import,2025,02,São Paulo,SP,22061,1205,
import,2025,08,Minas Gerais,MG,21349,7913,
import,2025,09,Rio Grande do Sul,RS,20059,177,
import,2025,03,São Paulo,SP,13682,1573,
import,2025,01,Rio de Janeiro,RJ,11452,2082,
import,2025,02,Roraima,RR,9939,109,
import,2025,04,Rio Grande do Sul,RS,9654,140,
import,2025,10,Rondônia,RO,9606,1501,
import,2025,05,São Paulo,SP,7362,1004,
import,2025,04,Espírito Santo,ES,7055,888,
import,2025,06,Bahia,BA,7041,24,
import,2025,11,Amazonas,AM,6840,740,
import,2025,12,São Paulo,SP,5775,616,
