flow,year,monthNumber,municipio,uf,metricFOB,metricKG
export,2025,10,Alvorada do Sul,PR,845,190
export,2025,07,Alvorada do Sul,PR,842,181
export,2025,12,Alvorada do Sul,PR,840,181
export,2025,10,Pompéia,SP,787,50
export,2025,11,Alvorada do Sul,PR,770,160
export,2025,12,Oiapoque,AP,753,500
export,2025,08,Tupã,SP,668,288
export,2025,12,Diadema,SP,459,48
export,2025,07,São Paulo,SP,365,2
export,2025,04,São Paulo,SP,196,1
export,2025,02,Mazagão,AP,50,36
export,2025,09,Vila Velha,ES,0,0
export,2026,05,Itajaí,SC,4341945,91211
export,2026,03,Itajaí,SC,2791406,51304
export,2026,07,Palhoça,SC,2488039,43900
export,2026,08,Itajaí,SC,2233466,27800
export,2026,05,Palhoça,SC,1946444,28800
export,2026,03,Palhoça,SC,1523362,25900
export,2026,04,Guarujá,SP,1229296,32500
export,2026,07,Itajaí,SC,972847,23586
export,2026,08,Curitiba,PR,840000,23400
export,2026,01,Itajaí,SC,837834,22985
export,2026,02,Palhoça,SC,748007,10900
export,2026,06,Curitiba,PR,745000,21600
export,2026,06,Palhoça,SC,726007,10900
export,2026,04,Palhoça,SC,715769,15000
export,2026,04,Itajaí,SC,590925,13800
export,2026,05,Curitiba,PR,558749,17812
export,2026,01,Palhoça,SC,545127,12000
export,2026,01,Curitiba,PR,544664,13700
export,2026,06,Jaboatão dos Guararapes,PE,534157,14050
export,2026,04,Jaboatão dos Guararapes,PE,533795,15700
export,2026,04,Curitiba,PR,475000,13600
export,2026,05,Guarujá,SP,467496,8500
export,2026,07,Curitiba,PR,405000,11800
export,2026,03,Jaboatão dos Guararapes,PE,400070,10750
export,2026,05,Jaboatão dos Guararapes,PE,395100,11500
export,2026,01,Jaboatão dos Guararapes,PE,367027,12050
export,2026,02,Jaboatão dos Guararapes,PE,344545,11000
export,2026,07,Capitólio,MG,246658,6770
export,2026,07,Jaboatão dos Guararapes,PE,205489,5500
export,2026,03,Diadema,SP,170910,4000
export,2026,03,Guarujá,SP,152959,2500
export,2026,03,Capitólio,MG,150400,7000
export,2026,06,São José dos Pinhais,PR,145000,4900
export,2026,03,Biguaçu,SC,128180,2650
export,2026,01,Guarujá,SP,124037,2500
export,2026,05,Capitólio,MG,117205,3450
export,2026,07,Santa Terezinha de Itaipu,PR,105048,1200
