cnpj,razao_social,nome_fantasia,porte,mei,data_inicio,cnae_principal,cnae_principal_nome,municipio,bairro,cep
10744327000121,FLAVIO MARQUES MECANICA DE JET SKI E MOTOS,CIA DA TRILHA OFICINA DE MOTO,Microempresa,N,20090406,4763605,Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios,IMBITUBA,ARACATUBA,88780000
20446356000160,MARCELO COLOMBO CAPILLA,PAGUE FACIL,Microempresa,N,20140612,5011401,Transporte marítimo de cabotagem - Carga,ITAPOA,AREAS DIVERSAS,89249000
12929726000192,ASSOCIACAO ESPORTIVA E CULTURAL DIRETORIA FUTEBOL CLUBE,DIRETORIA FC,Demais,,20101110,9312300,"Clubes sociais, esportivos e similares",CAPIVARI DE BAIXO,CENTRO,88745000
12974095000123,WAY COMERCIO DE PECAS AUTOMOTIVAS LTDA,,Empresa de pequeno porte,,20101207,4530703,Comércio a varejo de peças e acessórios novos para veículos automotores,SAO MIGUEL DO OESTE,SAO GOTARDO,89900000
13753483000147,UWL DO BRASIL OPERADORA MULTIMODAL LTDA.,UWL DO BRASIL,Demais,,20110513,5232000,Atividades de agenciamento marítimo,ITAJAI,CENTRO,88301030
15119595000176,VALMIR RODRIGO VIEIRA 76069060920,,Microempresa,S,20120301,3317102,Manutenção e reparação de embarcações para esporte e lazer,NAVEGANTES,SAO DOMINGOS,88370594
04647998000252,MERCATOR - LOGISTICA E TRANPORTE DE CARGAS LTDA,MERCATOR LOGISTICA ADUANEIRA LTDA,Empresa de pequeno porte,,20080121,5232000,Atividades de agenciamento marítimo,ITAJAI,CORDEIROS,88311710
15644488000167,"BRASIL SUL INDUSTRIA, COMERCIO E TRANSPORTES DE PESCADOS LTDA EM RECUPERACAO JUDICIAL",,Demais,N,20120529,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",ITAJAI,BARRA DO RIO,88305400
15747583000196,RAS MAR VIVO SEAFOODS DISTRIBUICAO LTDA,RAS MAR VIVO,Microempresa,N,20120621,1020101,"Preservação de peixes, crustáceos e moluscos",PENHA,CENTRO,88385000
15863248000153,"ASSOCIACAO DE CACA, PESCA E TIRO ESPORTIVO XANXERE",,Demais,,20120209,9312300,"Clubes sociais, esportivos e similares",XANXERE,INTERIOR,89820000
16614004000108,JERRI LUIS GALLEASSI LTDA,CHANO S RESTAURANTE E PIZZARIA,Empresa de pequeno porte,N,20120727,5611201,Restaurantes e similares,ITAPEMA,MEIA PRAIA,88220000
08762826000108,HIDROLIGHT DO BRASIL S.A,HIDROLIGHT DO BRASIL,Demais,N,20070416,3250704,"Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral, exceto sob encomenda",GAROPABA,AMBROSIO,88495000
16809150000180,DEMARCHI INDUSTRIA E COMERCIO DE BICICLETAS LTDA,DEMARCHI,Empresa de pequeno porte,N,20120820,4763603,Comércio varejista de bicicletas e triciclos; peças e acessórios,ITAJAI,FAZENDA,88306002
16889668000171,SUSANA ERCICO,,Microempresa,N,20120921,4771704,Comércio varejista de medicamentos veterinários,CAMPO ERE,CENTRO,89980000
16951960000177,EVOLUTION ACADEMIA LTDA.,EVOLUTION FITNESS,Microempresa,N,20120925,9313100,Atividades de condicionamento físico,TIMBO,IMIGRANTES,89090140
17007418000123,17.007.418 FERNANDO LUCAS STAROSCKY,,Microempresa,S,20121016,3317102,Manutenção e reparação de embarcações para esporte e lazer,PALHOCA,BELA VISTA,88132730
17028784000169,JMB USINAGEM LTDA,SANTA CRUZ,Microempresa,N,20121018,2539001,"Serviços de usinagem, tornearia e solda",JOINVILLE,BOA VISTA,89206600
17142832000145,ITANAVE CONSTRUCAO NAVAL LTDA,,Microempresa,N,20121101,3011301,Construção de embarcações de grande porte,ITAJAI,SALSEIROS,88301000
17144904000193,MS PRODUCOES E SERVICOS LTDA,TOP LED,Microempresa,N,20121109,9001902,Produção musical,SAO FRANCISCO DO SUL,PAULAS,89240000
11693933000128,FLOMAR LINHAS MARITIMAS LTDA,FLOMAR LINHAS MARIITMAS,Microempresa,,20100317,5022002,"Transporte por navegação interior de passageiros em linhas regulares, intermunicipal, interestadual e internacional, exceto travessia",SAO JOSE,PONTA DE BAIXO,88104000
17183861000155,17.183.861 RENAN MOACIR BENTO,,Microempresa,N,20121120,4322302,"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração",FLORIANOPOLIS,CAMPECHE,88065035
17259286000127,FRANCIELI PASQUALIN BENTO,,Microempresa,S,20121204,7721700,Aluguel de equipamentos recreativos e esportivos,JOINVILLE,AMERICA,89204002
17327902000130,WAVE LOG SERVICOS MARITIMOS E PORTUARIOS LTDA,WAVE LOG SERVICOS MARITIMOS E PORTUARIOS,Empresa de pequeno porte,N,20121218,5232000,Atividades de agenciamento marítimo,SAO FRANCISCO DO SUL,CENTRO,89240000
11283638000101,MULTIPESCA SERRA & MAR LTDA,MULTIPESCA SERRA & MAR,Microempresa,N,20091104,4763604,"Comércio varejista de artigos de caça, pesca e camping",JOINVILLE,PIRABEIRABA (PIRABEIRABA),89239100
15197441000100,BARCARO ATIVIDADES ESPORTIVAS LTDA,BOLEIRO FC,Microempresa,N,20120314,9319101,Produção e promoção de eventos esportivos,CACADOR,PARAISO,89503085
14107187000131,HUISMAN LTDA,HUISMAN,Demais,,20110812,2822402,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios",NAVEGANTES,VOLTA GRANDE,88371680
17646504000186,EDUARDO LUCIANO PIZAROLI 31859922880,,Microempresa,S,20130226,4772500,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",FLORIANOPOLIS,RIBEIRAO DA ILHA,88064400
17944504000162,LA PORTE ENGENHARIA E DRAGAGENS LTDA,LA PORTE LTDA,Demais,N,20130415,4313400,Obras de terraplenagem,SAO FRANCISCO DO SUL,CENTRO,89240000
17976505000199,17.976.505 ALAELSON LUIZ BELMIRO,,Microempresa,S,20130422,7721700,Aluguel de equipamentos recreativos e esportivos,ITAJAI,CENTRO,88301700
13794058000104,TEC OMNI LTDA,TEC OMNI,Microempresa,N,20110609,4321500,Instalação e manutenção elétrica,IMBITUBA,VILA NOVA,88780000
18007431000145,XADREZ EDUCA LTDA,,Microempresa,N,20130426,4763602,Comércio varejista de artigos esportivos,SAO BENTO DO SUL,CENTENARIO,89283033
18078769000198,RAFAEL EMKE,RAFA'S LANCHES,Microempresa,N,20130509,5611203,"Lanchonetes, casas de chá, de sucos e similares",TIMBO,QUINTINO,89120000
13198851000132,ASSOCIACAO DE PAIS E ATLETAS DO FUTSAL DE XANXERE - FURIA,FURIA,Demais,,20110201,9319199,Outras atividades esportivas não especificadas anteriormente,XANXERE,NOSSA SENHORA DE FATIMA,89820000
15374279000140,YASMINN CATTA PRETA CAMPELLI,KAVOOKA MOTOS,Microempresa,N,20120416,4543900,Manutenção e reparação de motocicletas e motonetas,ITAPOA,BALNEARIO NOSSA SENHORA APARECIDA,89249000
18226772000101,ALEXANDRE MEINECKE,NEO MARINE,Microempresa,N,20130603,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",PALHOCA,PRAIA DE FORA,88138300
13791683000194,13.791.683 RAFAELA OPENKOSKI,,Microempresa,S,20110613,8230001,"Serviços de organização de feiras, congressos, exposições e festas",ABELARDO LUZ,SANTA LUZIA,89830000
14027088000140,ESPACO VIP ESTUDIO E ACADEMIA PERSONALIZADA LTDA,ESPACO VIP - ACADEMIA PERSONALIZADA,Microempresa,N,20110728,9313100,Atividades de condicionamento físico,CORONEL FREITAS,CENTRO,89840000
