validar (S/N),razao_social,nome_fantasia,municipio,cnae_principal,cnae_nome,porte,desde,cnpj,observacao
,MACSUL SERVICOS LTDA,MACSUL SERVICOS,Navegantes,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",Empresa de pequeno porte,2022,48778600000101,
,PJ INDUSTRIA NAVAL LTDA,,Navegantes,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",Empresa de pequeno porte,2003,05636503000171,
,ESTALEIRO SCHAEFER YACHTS S/A,SCHAEFER YACHTS,Palhoca,3012100,Construção de embarcações para esporte e lazer,Demais,1999,03178348000161,
,INTECH BOATING INDUSTRIA E COMERCIO DE EMBARCACOES S/A,INTECH BOATING,Palhoca,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",Demais,2000,03968900000115,
,MASTRO D' ASCIA NAUTICA LTDA,MASTRO D' ASCIA,Palhoca,3012100,Construção de embarcações para esporte e lazer,Empresa de pequeno porte,2001,04709201000113,
,POWER DO BRASIL LTDA,POWER BOAT,Palhoca,3012100,Construção de embarcações para esporte e lazer,Empresa de pequeno porte,2012,15087476000189,
,RPM SUL COMERCIO DE PRODUTOS NAUTICOS LTDA,MARINA NAUTICA,Palhoca,4763605,Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios,Demais,2021,43613763000110,
,"YACHT LIFE INDUSTRIA, COMERCIO E SERVICOS NAUTICOS LTDA",YACHT LIFE,Palhoca,3012100,Construção de embarcações para esporte e lazer,Empresa de pequeno porte,2014,19807286000140,
,D&Z SERVICOS NAUTICOS LTDA,D&Z NAUTICA,Passo De Torres,5239799,Atividades auxiliares dos transportes aquaviários não especificadas anteriormente,Demais,2025,63651403000110,
,BLACK MARINE EMBARCACOES E EQUIPAMENTOS NAUTICOS LTDA,BLACK MARINE,Penha,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",Empresa de pequeno porte,2018,31412230000191,
,LUNASUB NAUTICA LTDA,,Porto Belo,5099801,Transporte aquaviário para passeios turísticos,Demais,1985,79012985000125,
,OKEAN COMPOSITES INDUSTRIA E COMERCIO DE PECAS E ESTRUTURAS NAUTICAS LTDA,QARIB COMPOSITES,Porto Belo,3012100,Construção de embarcações para esporte e lazer,Demais,2022,45208563000108,
,BAMBURI IMPORTADORA E LOCADORA DE VEICULOS NAUTICOS LTDA,,Sao Francisco Do Sul,7721700,Aluguel de equipamentos recreativos e esportivos,Demais,2009,10918855000150,
,MEGA JET COMERCIO E REPRESENTACAO LTDA.,MEGA JET & BOAT,Sao Jose,4763605,Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios,Demais,1999,03599242000131,
,POWER NAUTICA REVERSORES COMERCIO E SERVICOS LTDA,MMW REVERSORES,Sao Jose,3012100,Construção de embarcações para esporte e lazer,Empresa de pequeno porte,2014,21212831000105,
,PSX CONSTRUCOES NAVAIS LTDA,PSX CONSTRUCOES NAVAIS,Sao Jose,3012100,Construção de embarcações para esporte e lazer,Demais,2013,17988990000110,
,ATLANTIK OZEAN YACHT DO BRASIL LTDA,ATLANTIK OZEAN YACHT,Tijucas,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",Demais,2023,50692412000108,
,CANADIAN DESIGN DO BRASIL LTDA,CANADIAN KANGAROO,Tijucas,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",Demais,2023,50314342000154,
,"CRUISER RACER COMERCIO, IMPORTACAO E EXPORTACAO DE PRODUTOS NAUTICOS LTDA.",C.R.LOGISTICS,Tijucas,4763605,Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios,Demais,1988,59222661000104,
,TERCIO LUIZ DUARTE DA SILVA EQUIPAMENTOS,YAMADEPOT EQUIPAMENTOS,Tijucas,3012100,Construção de embarcações para esporte e lazer,Empresa de pequeno porte,2020,37157528000189,
