ano,municipio_codigo,municipio,cnae,descricao,grupo,estab_com_vinculo,vinculos_ativos,estab_declarantes
2025,420010,Abelardo Luz,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,1,6,3
2025,420020,Agrolândia,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2025,420030,Agronômica,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,1,1,1
2025,420055,Águas Frias,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,2
2025,420100,Anita Garibaldi,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,1
2025,420100,Anita Garibaldi,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,1,1,1
2025,420120,Antônio Carlos,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,1,1,1
2025,420120,Antônio Carlos,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,0,0,1
2025,420120,Antônio Carlos,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,2
2025,420130,Araquari,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,113
2025,420130,Araquari,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,6
2025,420130,Araquari,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,0,0,1
2025,420130,Araquari,0321302,Criação de camarões em água salgada e salobra,Pesca e aquicultura,0,0,5
2025,420130,Araquari,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,1
2025,420130,Araquari,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,1,8,1
2025,420130,Araquari,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,2,11,5
2025,420130,Araquari,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,2,5,4
2025,420130,Araquari,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,0,0,1
2025,420130,Araquari,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,3,8,4
2025,420130,Araquari,5231102,Atividades do operador portuário,Portos e navegação,0,0,1
2025,420130,Araquari,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,0,0,1
2025,420130,Araquari,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2025,420140,Araranguá,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,296
2025,420140,Araranguá,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,3
2025,420140,Araranguá,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,1
2025,420140,Araranguá,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,2
2025,420140,Araranguá,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,0,0,1
2025,420140,Araranguá,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,1,11,1
2025,420140,Araranguá,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,1,9,1
2025,420140,Araranguá,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,0,0,1
2025,420140,Araranguá,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,5
2025,420150,Armazém,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,0,0,1
2025,420160,Arroio Trinta,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,5
2025,420165,Arvoredo,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2025,420170,Ascurra,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,1,48,1
2025,420180,Atalanta,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2025,420195,Balneário Arroio do Silva,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,336
2025,420195,Balneário Arroio do Silva,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,1
2025,420195,Balneário Arroio do Silva,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,1
2025,420195,Balneário Arroio do Silva,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,3
2025,420195,Balneário Arroio do Silva,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2025,420200,Balneário Camboriú,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,2,37,121
2025,420200,Balneário Camboriú,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,1,7,52
2025,420200,Balneário Camboriú,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,0,0,1
2025,420200,Balneário Camboriú,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,6,43,6
2025,420200,Balneário Camboriú,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,1,22,1
2025,420200,Balneário Camboriú,3011301,Construção de embarcações de grande porte,Indústria naval,1,4,1
2025,420200,Balneário Camboriú,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,1,1,2
2025,420200,Balneário Camboriú,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,0,0,1
2025,420200,Balneário Camboriú,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,0,0,3
2025,420200,Balneário Camboriú,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,4,21,16
2025,420200,Balneário Camboriú,4329102,Instalação de equipamentos para orientação à navegação,Indústria náutica,0,0,4
2025,420200,Balneário Camboriú,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,7,33,12
2025,420200,Balneário Camboriú,5011401,"Transporte marítimo de cabotagem, carga",Portos e navegação,0,0,2
2025,420200,Balneário Camboriú,5030101,Navegação de apoio marítimo,Portos e navegação,0,0,1
2025,420200,Balneário Camboriú,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,1,56,3
2025,420200,Balneário Camboriú,5231101,Administração da infraestrutura portuária,Portos e navegação,0,0,1
2025,420200,Balneário Camboriú,5232000,Atividades de agenciamento marítimo,Portos e navegação,3,75,5
2025,420200,Balneário Camboriú,7719501,"Locação de embarcações sem tripulação, exceto para fins recreativos",Comércio e serviços náuticos,0,0,4
2025,420200,Balneário Camboriú,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,4,42,25
2025,420200,Balneário Camboriú,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,2,8,20
2025,420205,Balneário Barra do Sul,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,436
2025,420205,Balneário Barra do Sul,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,26
2025,420205,Balneário Barra do Sul,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,49
2025,420205,Balneário Barra do Sul,0321302,Criação de camarões em água salgada e salobra,Pesca e aquicultura,0,0,15
2025,420205,Balneário Barra do Sul,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,1
2025,420205,Balneário Barra do Sul,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,2,4,3
2025,420205,Balneário Barra do Sul,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,1,1,1
2025,420205,Balneário Barra do Sul,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,1,1,1
2025,420205,Balneário Barra do Sul,5239799,Atividades auxiliares dos transportes aquaviários,Portos e navegação,1,3,1
2025,420207,Balneário Gaivota,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,997
2025,420207,Balneário Gaivota,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,13
2025,420207,Balneário Gaivota,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,46
2025,420207,Balneário Gaivota,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,0,0,1
2025,420207,Balneário Gaivota,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2025,420208,Bandeirante,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2025,420210,Barra Velha,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,175
2025,420210,Barra Velha,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,24
2025,420210,Barra Velha,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,11
2025,420210,Barra Velha,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,2
2025,420210,Barra Velha,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,7,247,9
2025,420210,Barra Velha,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,1,1,1
