ano,uf,cnae,descricao,grupo,estab_com_vinculo,vinculos_ativos,estab_declarantes
2024,,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,2,14,610
2024,,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,1093
2024,,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,19
2024,,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,0,0,1
2024,,0321302,Criação de camarões em água salgada e salobra,Pesca e aquicultura,0,0,45
2024,,0321303,Criação de ostras e mexilhões em água salgada e salobra,Pesca e aquicultura,0,0,1
2024,,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,3
2024,,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,0,0,1
2024,,3011301,Construção de embarcações de grande porte,Indústria naval,0,0,1
2024,,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,0,0,1
2024,,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,0,0,1
2024,,5232000,Atividades de agenciamento marítimo,Portos e navegação,0,0,1
2024,,5239799,Atividades auxiliares dos transportes aquaviários,Portos e navegação,0,0,1
2024,,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,4
2024,AC,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,3
2024,AC,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,2
2024,AC,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,1,18,2
2024,AC,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,1,1,2
2024,AC,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,0,0,1
2024,AC,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,0,0,1
2024,AC,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,3,6,4
2024,AC,5011401,"Transporte marítimo de cabotagem, carga",Portos e navegação,0,0,1
2024,AC,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,0,0,2
2024,AC,7719501,"Locação de embarcações sem tripulação, exceto para fins recreativos",Comércio e serviços náuticos,0,0,1
2024,AC,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,2,13,4
2024,AC,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,12
2024,AL,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,1,7,1276
2024,AL,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,6533
2024,AL,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,490
2024,AL,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,0,0,1
2024,AL,0321302,Criação de camarões em água salgada e salobra,Pesca e aquicultura,4,34,12
2024,AL,0321303,Criação de ostras e mexilhões em água salgada e salobra,Pesca e aquicultura,0,0,5
2024,AL,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,309
2024,AL,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,4,197,5
2024,AL,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,3,8,6
2024,AL,3011301,Construção de embarcações de grande porte,Indústria naval,0,0,2
2024,AL,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,1,30,3
2024,AL,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,2,2,2
2024,AL,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,1,1,1
2024,AL,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,4,9,4
2024,AL,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,5,22,11
2024,AL,5011401,"Transporte marítimo de cabotagem, carga",Portos e navegação,0,0,2
2024,AL,5030101,Navegação de apoio marítimo,Portos e navegação,0,0,2
2024,AL,5030102,Navegação de apoio portuário,Portos e navegação,1,8,2
2024,AL,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,13,35,57
2024,AL,5231101,Administração da infraestrutura portuária,Portos e navegação,1,4,1
2024,AL,5231102,Atividades do operador portuário,Portos e navegação,5,412,7
2024,AL,5232000,Atividades de agenciamento marítimo,Portos e navegação,3,8,5
2024,AL,5239701,Serviços de praticagem,Portos e navegação,0,0,1
2024,AL,5239799,Atividades auxiliares dos transportes aquaviários,Portos e navegação,9,70,15
2024,AL,7719501,"Locação de embarcações sem tripulação, exceto para fins recreativos",Comércio e serviços náuticos,0,0,2
2024,AL,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,19,52,44
2024,AL,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,3,18,42
2024,AM,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,29
2024,AM,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,2
2024,AM,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,1,1,14
2024,AM,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,0,0,3
2024,AM,0321302,Criação de camarões em água salgada e salobra,Pesca e aquicultura,0,0,2
2024,AM,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,1
2024,AM,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,4,148,10
2024,AM,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,20,210,40
2024,AM,3011301,Construção de embarcações de grande porte,Indústria naval,21,2447,42
2024,AM,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,13,72,71
2024,AM,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,6,151,28
2024,AM,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,3,132,8
2024,AM,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,16,108,75
2024,AM,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,5,8,17
2024,AM,4329102,Instalação de equipamentos para orientação à navegação,Indústria náutica,0,0,2
2024,AM,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,36,165,104
2024,AM,5011401,"Transporte marítimo de cabotagem, carga",Portos e navegação,6,186,36
2024,AM,5030101,Navegação de apoio marítimo,Portos e navegação,2,6,4
2024,AM,5030102,Navegação de apoio portuário,Portos e navegação,5,59,15
2024,AM,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,2,4,28
2024,AM,5231101,Administração da infraestrutura portuária,Portos e navegação,2,12,11
2024,AM,5231102,Atividades do operador portuário,Portos e navegação,21,1012,35
2024,AM,5232000,Atividades de agenciamento marítimo,Portos e navegação,27,152,43
2024,AM,5239701,Serviços de praticagem,Portos e navegação,4,33,8
2024,AM,5239799,Atividades auxiliares dos transportes aquaviários,Portos e navegação,7,82,18
2024,AM,7719501,"Locação de embarcações sem tripulação, exceto para fins recreativos",Comércio e serviços náuticos,9,13,37
2024,AM,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,12,27,36
2024,AM,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,6,6,41
2024,AP,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,1498
2024,AP,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,17
2024,AP,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,0,0,1
2024,AP,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,10
2024,AP,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,12,95,30
2024,AP,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,3,20,7
2024,AP,3011301,Construção de embarcações de grande porte,Indústria naval,1,2,3
2024,AP,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,3,13,11
2024,AP,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,2,23,8
2024,AP,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,1,7,6
2024,AP,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,1,1,2
2024,AP,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,13,59,40
2024,AP,5011401,"Transporte marítimo de cabotagem, carga",Portos e navegação,3,10,5
2024,AP,5030102,Navegação de apoio portuário,Portos e navegação,5,67,7
2024,AP,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,0,0,2
2024,AP,5231101,Administração da infraestrutura portuária,Portos e navegação,2,13,5
2024,AP,5231102,Atividades do operador portuário,Portos e navegação,7,113,9
