ano,municipio_codigo,municipio,cnae,descricao,grupo,estab_com_vinculo,vinculos_ativos,estab_declarantes
2024,421660,São José,5232000,Atividades de agenciamento marítimo,Portos e navegação,0,0,2
2024,421660,São José,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,7,24,16
2024,421660,São José,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,16
2024,421670,São José do Cedro,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,421690,São Lourenço do Oeste,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,1,6,13
2024,421700,São Ludgero,4329102,Instalação de equipamentos para orientação à navegação,Indústria náutica,0,0,1
2024,421700,São Ludgero,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,0,0,1
2024,421720,São Miguel do Oeste,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,1,2,1
2024,421720,São Miguel do Oeste,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,1,3,3
2024,421720,São Miguel do Oeste,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,1,1,8
2024,421725,São Pedro de Alcântara,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,421730,Saudades,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,5
2024,421740,Schroeder,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,1,4,1
2024,421740,Schroeder,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,421750,Seara,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,421755,Serra Alta,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,2
2024,421760,Siderópolis,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,1
2024,421770,Sombrio,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,179
2024,421770,Sombrio,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,1
2024,421770,Sombrio,0321302,Criação de camarões em água salgada e salobra,Pesca e aquicultura,0,0,1
2024,421770,Sombrio,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,7
2024,421770,Sombrio,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,2,3,2
2024,421770,Sombrio,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,421775,Sul Brasil,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,421780,Taió,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,421795,Tigrinhos,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,0,0,1
2024,421795,Tigrinhos,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,421800,Tijucas,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,2,26,130
2024,421800,Tijucas,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,1
2024,421800,Tijucas,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,0,0,1
2024,421800,Tijucas,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,1
2024,421800,Tijucas,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,1,5,1
2024,421800,Tijucas,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,0,0,2
2024,421800,Tijucas,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,1,3,3
2024,421800,Tijucas,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,0,0,7
2024,421800,Tijucas,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,0,0,3
2024,421800,Tijucas,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,2,3,3
2024,421800,Tijucas,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,2
2024,421810,Timbé do Sul,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,1
2024,421820,Timbó,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,1,1,2
2024,421820,Timbó,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,2,4,3
2024,421835,Treviso,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,1,9,1
2024,421840,Treze de Maio,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,1
2024,421840,Treze de Maio,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,3
2024,421850,Treze Tílias,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,421860,Trombudo Central,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,421870,Tubarão,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,7
2024,421870,Tubarão,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,7
2024,421870,Tubarão,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,1
2024,421870,Tubarão,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,1,4,1
2024,421870,Tubarão,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,2,3,3
2024,421870,Tubarão,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,2
2024,421875,Tunápolis,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,421880,Turvo,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,1
2024,421880,Turvo,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,0,0,2
2024,421880,Turvo,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,0,0,1
2024,421890,Urubici,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,1,2,1
2024,421890,Urubici,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,0,0,1
2024,421890,Urubici,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,421900,Urussanga,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,1,37,1
2024,421900,Urussanga,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,0,0,1
2024,421900,Urussanga,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,3
2024,421910,Vargeão,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,421920,Vidal Ramos,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,421930,Videira,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,1,2,1
2024,421930,Videira,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,1,1,2
2024,421930,Videira,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,2
2024,421935,Vitor Meireles,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,1,10,1
2024,421950,Xanxerê,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,0,0,2
2024,421950,Xanxerê,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,6
2024,421960,Xavantina,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,2
2024,422000,Balneário Rincão,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,1072
2024,422000,Balneário Rincão,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,2
