validar (S/N),nome conhecido?,razao_social,nomes fantasia,municipio (matriz),todos os municipios,porte,desde,cnaes principais,cnpj,observacao
,,KOFFKE MARINE LTDA,,Blumenau,Blumenau,Microempresa,1991,3012100,82977398000185,
,,IBEM FABRICACAO DE EMBARCACOES LTDA,IBEM ESTALEIRO,Bombinhas,Bombinhas,Microempresa,2008,3012100,09436565000190,
,,ESTALEIRO BENAVIDEZ BRASIL INDUSTRIA E COMERCIO DE EMBARCACOES LTDA,,Florianopolis,Florianopolis,Microempresa,2007,3011301,08687153000160,
,,IPC INDUSTRIA E COMERCIO DE EMBARCACOES LTDA,,Florianopolis,Florianopolis,Demais,2017,3012100,29284292000113,
,,MILITARY MARINE SOLUTIONS LTDA,,Florianopolis,Florianopolis,Empresa de pequeno porte,2018,3011302,31163549000120,
,,NAVAL IND. LTDA,,Florianopolis,Florianopolis,Empresa de pequeno porte,2014,3012100,19702321000166,
,,GASPARMAR REPAROS NAVAIS LTDA,MSUL DRAGAS,Gaspar,Gaspar,Empresa de pequeno porte,2015,3011302,23433408000152,
,,MONDINI EQUIPAMENTOS PARA MINERACAO LTDA,,Gaspar,Gaspar,Empresa de pequeno porte,1998,3011302,02742713000156,
,,ESTALEIRO GAMBOA SUL LTDA,ESTALEIRO GAMBOA SUL,Ilhota,Ilhota,Microempresa,2023,3011301,51214544000197,
,,FIBRAMAR LTDA,FIBRAMAR NAUTICA,Ilhota,Ilhota,Microempresa,2026,3012100,66588974000146,
,,TEK FIBRA NAUTICA LTDA,CAR MAR FIBRA NAUTICA,Ilhota,Ilhota,Microempresa,2014,3012100,20837178000107,
,,YHT YACHTS HARD TECHNOLOGY LTDA,YHT YACHTS,Ilhota,Ilhota,Microempresa,2026,3012100,67748861000123,
,,BB CONSTRUCOES DE BARCOS LTDA,BB BARCOS,Imbituba,Imbituba,Demais,1983,3011302,89936850000100,
,,ACOPARTS INDUSTRIA E COMERCIO LTDA,ACOPARTS INDUSTRIA E COMERCIO,Itajai,Itajai,Empresa de pequeno porte,2025,3011302,63334144000102,
,,ANTONIO MARCOS PEREIRA,ITAJAI NAUTICA,Itajai,Itajai,Empresa de pequeno porte,2017,3011302,27256145000104,
,,BEST BOAT MANUTENCAO E REPAROS NAUTICOS LTDA,BEST BOAT,Itajai,Itajai,Empresa de pequeno porte,2024,3012100,57936013000194,
,,ENAV REPARO NAVAL LTDA,,Itajai,Itajai,Empresa de pequeno porte,2017,3011301,27545077000101,
,,ESTALEIRO FELIPE LTDA,,Itajai,Itajai,Microempresa,1979,3011302,83822569000160,
,,ESTALEIRO NAVAL MANOEL ESPOGEIRO LTDA,,Itajai,Itajai,Microempresa,1989,3011301,81316044000127,
,,JATO SOARES LTDA,JATO SOARES,Itajai,Itajai,Empresa de pequeno porte,2024,3011301,55521126000101,
,,MAIOCHI CONSTRUCAO NAVAL E TERRAPLANAGEM LTDA,MAIOCHI CONSTRUCAO NAVAL E TERRAPLANAGEM,Itajai,Itajai,Empresa de pequeno porte,2000,3011302,04182174000173,
,,MAQDIESEL MARINE SC LTDA,MAQDIESEL MARINE SC,Itajai,Itajai,Empresa de pequeno porte,2026,3011301,64734936000129,
,,MARCELA ESTER DOMIGOS LTDA,LEMAM MARINE,Itajai,Itajai,Microempresa,2017,3012100,28316486000190,
,,PASIANI PRESTACAO DE SERVICOS NAVAIS LTDA,PASIANI FIBRAS,Itajai,Itajai,Demais,2020,3012100,38597542000166,
,,RDC ENGENHARIA LTDA,RDC ENGENHARIA,Itajai,Itajai,Demais,1989,3011301,81597106000116,
,,ROMA INDUSTRIA COMERCIO E CONSULTORIA NO SEGMENTO DE PRODUTOS NAUTICOS,,Itajai,Itajai,Demais,2009,3012100,10914874000108,
,,SEDNA GROUP INDUSTRIA NAUTICA LTDA,SEDNA GROUP,Itajai,Itajai,Demais,2018,3011301 3317101,31371084000101,
,,SRJ FIBRAS LTDA,,Itajai,Itajai,Empresa de pequeno porte,2020,3012100,37207936000106,
,,TKMS ESTALEIRO BRASIL SUL LTDA.,THYSSENKRUPP ESTALEIRO BRASIL SUL,Itajai,Itajai,Demais,2020,3011301,37981316000111,
,,ZEMAR ESTALEIRO DO ACO LTDA,ZEMAR ESTALEIRO DO ACO,Itajai,"Itajai, Navegantes",Demais,2002,3011302,05372962000195,
,,ALTANIR GOULARTE LIMITADA,MARINA MARBI,Joinville,Joinville,Empresa de pequeno porte,2024,3012100,56033211000185,
,,AMS SINALIZACAO NAUTICA LTDA,,Joinville,Joinville,Empresa de pequeno porte,2023,3011301,50771552000171,
,,POLYMAR ESTALEIROS LTDA,,Joinville,Joinville,Demais,1966,3011302,61383667000105,
,,PRG MANUTENCOES E SERVICOS NAUTICOS LTDA,AQUAMAR MARINE SERVICE,Joinville,Joinville,Microempresa,1984,3011301,78633955000173,
,,SDN NAUTICA LTDA,SDN NAUTICA,Joinville,Joinville,Demais,2024,3012100,56091487000110,
,,TDX ESTRUTURAS METALICAS E ESTALEIROS LTDA,TDX ESTRUTURAS METALICAS,Joinville,Joinville,Microempresa,2024,3012100,55332025000184,
,,AKRON CONSTRUCAO E REPARO NAVAL E CIVIL LTDA,AKRON CONSTRUCAO E REPARO NAVAL,Navegantes,Navegantes,Empresa de pequeno porte,2022,3011301,44859964000165,
,,ALIANCA S/A - INDUSTRIA NAVAL E EMPRESA DE NAVEGACAO,OCEANA ESTALEIRO,Navegantes,Navegantes,Demais,2018,3011302,33055732000804,
,,ALPHA CONSTRUCOES NAVAIS E APOIO MARITIMO LTDA,ALPHA CONSTRUCOES NAVAIS E APOIO MARITIMO,Navegantes,Navegantes,Empresa de pequeno porte,2012,3011302,16911736000151,
,,CARLOS EDUARDO DE SOUZA SOCIEDADE LTDA,CARLOS EDUARDO DE SOUZA SOCIEDADE LTDA,Navegantes,Navegantes,Empresa de pequeno porte,2023,3011302,49682196000130,
,,CATARINA YACHTS ESTALEIRO NAVAL LTDA.,,Navegantes,Navegantes,Demais,2005,3012100,07280785000142,
